latitude,longitude,depth
29.878586,-97.93283,0.904
29.87859,-97.93283,0.958
29.87859,-97.93282,1.013
29.878592,-97.93282,1.013
29.878595,-97.932816,1.013
29.8786,-97.932816,1.013
29.878603,-97.932816,1.04
29.878603,-97.932816,1.013
29.878601,-97.932816,1.342
29.878601,-97.932816,1.287
29.878603,-97.93281,1.259
29.878609,-97.932816,1.205
29.87861,-97.932816,1.259
29.878613,-97.93282,1.396
29.878622,-97.932816,1.15
29.878628,-97.932816,1.177
29.878632,-97.932816,1.177
29.87863,-97.93282,1.15
29.878632,-97.93282,1.15
29.878637,-97.93282,1.123
29.87864,-97.93282,1.123
29.878645,-97.932816,1.095
29.878649,-97.932816,1.095
29.878653,-97.932816,1.15
29.878656,-97.932816,1.068
29.87866,-97.932816,1.15
29.878658,-97.93282,1.15
29.878662,-97.932816,1.205
29.878658,-97.93281,1.177
29.878656,-97.93281,1.068
29.878654,-97.93281,1.068
29.878654,-97.93281,1.013
29.878654,-97.9328,1.04
29.878653,-97.9328,1.15
29.878653,-97.93279,1.123
29.878656,-97.932785,1.15
29.878658,-97.932785,1.177
29.878666,-97.93278,1.095
29.87867,-97.93277,1.205
29.878672,-97.93277,1.177
29.87867,-97.93277,1.177
29.878668,-97.93277,1.205
29.878666,-97.93277,1.095
29.878664,-97.93277,1.205
29.878662,-97.93276,1.177
29.878662,-97.93275,1.177
29.878664,-97.93275,1.205
29.878658,-97.93275,1.205
29.878658,-97.93275,1.177
29.87866,-97.932755,1.177
29.878658,-97.93276,1.232
29.87867,-97.93276,1.259
29.878674,-97.93276,1.123
29.878668,-97.93276,1.095
29.878668,-97.93276,1.123
29.878677,-97.932755,1.123
29.87868,-97.932755,1.177
29.878677,-97.932755,1.04
29.878677,-97.93275,1.15
29.87868,-97.93275,1.15
29.878683,-97.93274,1.259
29.878685,-97.93275,1.177
29.878689,-97.932755,1.205
29.87869,-97.93276,1.068
29.87869,-97.93276,1.04
29.87869,-97.93276,1.04
29.87869,-97.93276,1.095
29.878689,-97.93276,1.04
29.878685,-97.93276,0.904
29.878683,-97.932755,0.849
29.878683,-97.932755,0.876
29.878683,-97.932755,0.739
29.87868,-97.93276,0.849
29.878674,-97.93276,0.739
